sale_id,sale_date,country,region,city,product_name,category,is_5g,unit_price_usd,discount_pct,units_sold,discounted_price_usd,revenue,sales_channel,payment_method,customer_age_group
SAMS-00000013,2022-07-11,Argentina,South America,Buenos Aires,Samsung 11kg Washer-Dryer Combo,Appliances,false,1172.91,7,1,1090.81,1090.81,E-commerce Platform,Net Banking,25–34
SAMS-00000132,2022-01-12,Argentina,South America,Mar del Plata,Samsung 11kg Washer-Dryer Combo,Appliances,false,1081.86,0,2,1081.86,2163.72,Online (Samsung.com),Samsung Pay,25–34
SAMS-00000171,2022-12-23,Argentina,South America,Mendoza,Samsung 11kg Washer-Dryer Combo,Appliances,false,1173.64,15,1,997.59,997.59,Online (Samsung.com),Gift Card,25–34
SAMS-00000229,2021-07-16,Argentina,South America,Salta,Samsung 11kg Washer-Dryer Combo,Appliances,false,1147.16,0,1,1147.16,1147.16,E-commerce Platform,Samsung Pay,35–44
SAMS-00000284,2023-12-12,Argentina,South America,Tucumán,Samsung 11kg Washer-Dryer Combo,Appliances,false,1161.41,10,1,1045.27,1045.27,Corporate / B2B,Samsung Pay,45–54
SAMS-00000420,2022-12-09,Australia,Oceania,Gold Coast,Samsung 11kg Washer-Dryer Combo,Appliances,false,1117.23,0,1,1117.23,1117.23,E-commerce Platform,Gift Card,55+
SAMS-00000441,2021-06-05,Australia,Oceania,Hobart,Samsung 11kg Washer-Dryer Combo,Appliances,false,1054.13,0,9,1054.13,9487.17,Third-Party Retailer,Debit Card,25–34
SAMS-00000488,2023-01-05,Australia,Oceania,Melbourne,Samsung 11kg Washer-Dryer Combo,Appliances,false,1013.01,2,2,992.75,1985.5,Carrier Store,Cash,25–34
SAMS-00000595,2024-02-12,Australia,Oceania,Sydney,Samsung 11kg Washer-Dryer Combo,Appliances,false,1195.69,12,1,1052.21,1052.21,Third-Party Retailer,Net Banking,45–54
SAMS-00000721,2023-11-18,Austria,Europe,Klagenfurt,Samsung 11kg Washer-Dryer Combo,Appliances,false,1096.0,3,4,1063.12,4252.48,Carrier Store,Credit Card,25–34
SAMS-00000731,2024-11-21,Austria,Europe,Klagenfurt,Samsung 11kg Washer-Dryer Combo,Appliances,false,1042.39,15,1,886.03,886.03,Corporate / B2B,EMI / Installment,25–34
SAMS-00000932,2021-10-03,Bangladesh,Asia,Chittagong,Samsung 11kg Washer-Dryer Combo,Appliances,false,1105.14,15,4,939.37,3757.48,Authorized Reseller,Samsung Pay,55+
